Name,Technique,Rule Type,Severity,Source,Guide
Abnormal Process ID or Lock File Created,T1106,New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/execution_abnormal_process_id_file_created.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-abnormal-process-id-file-created.md)
Anomalous Process For a Windows Population,"T1204, T1204.002, T1543",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/persistence_ml_windows_anomalous_process_all_hosts.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-ml-windows-anomalous-process-all-hosts.md)
Anomalous React Server Components Flight Data Patterns,"T1059, T1059.007, T1190",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/initial_access_anomalous_rsc_flight_data_patterns.toml),
Apple Script Execution followed by Network Connection,"T1059, T1059.002, T1105",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/execution_scripting_osascript_exec_followed_by_netcon.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-scripting-osascript-exec-followed-by-netcon.md)
Apple Scripting Execution with Administrator Privileges,"T1059, T1078",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/privilege_escalation_applescript_with_admin_privs.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-applescript-with-admin-privs.md)
At Job Created or Modified,"T1053, T1053.002",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/persistence_at_job_creation.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-at-job-creation.md)
At.exe Command Lateral Movement,"T1021, T1053, T1053.002, T1053.005",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/lateral_movement_at.toml),
AWS EC2 LOLBin Execution via SSM SendCommand,"T1105, T1651",ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/execution_aws_ec2_lolbin_via_ssm.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-aws-ec2-lolbin-via-ssm.md)
AWS Lambda Function Created or Updated,T1648,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/execution_aws_lambda_function_updated.toml),
AWS Lambda Layer Added to Existing Function,T1648,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/execution_lambda_external_layer_added_to_function.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-lambda-external-layer-added-to-function.md)
AWS SSM `SendCommand` Execution by Rare User,T1651,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/execution_ssm_sendcommand_by_rare_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-ssm-sendcommand-by-rare-user.md)
AWS SSM `SendCommand` with Run Shell Command Parameters,T1651,New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/execution_aws_ssm_sendcommand_with_command_parameters.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-aws-ssm-sendcommand-with-command-parameters.md)
AWS SSM Command Document Created by Rare User,T1651,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/execution_ssm_command_document_created_by_rare_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-ssm-command-document-created-by-rare-user.md)
Azure Automation Runbook Created or Modified,T1648,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/execution_automation_runbook_created_or_modified.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-automation-runbook-created-or-modified.md)
Azure Compute VM Command Executed,T1651,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/execution_compute_vm_command_executed.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-compute-vm-command-executed.md)
Base64 Decoded Payload Piped to Interpreter,"T1027, T1059, T1059.004, T1140, T1204, T1204.002",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/defense_evasion_interpreter_launched_from_decoded_payload.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/defense-evasion-interpreter-launched-from-decoded-payload.md)
Binary Content Copy via Cmd.exe,"T1059, T1059.003, T1140",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/defense_evasion_cmd_copy_binary_contents.toml),
Binary Executed from Shared Memory Directory,T1059,EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/execution_process_started_in_shared_memory_directory.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-process-started-in-shared-memory-directory.md)
Boot File Copy,"T1059, T1059.004, T1542, T1543, T1574",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/persistence_boot_file_copy.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-boot-file-copy.md)
BPF filter applied using TC,"T1059, T1059.004",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/execution_tc_bpf_filter.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-tc-bpf-filter.md)
Clearing Windows Console History,"T1059, T1059.001, T1070, T1070.003",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/defense_evasion_clearing_windows_console_history.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/defense-evasion-clearing-windows-console-history.md)
Command and Scripting Interpreter via Windows Scripts,"T1059, T1059.001, T1059.003, T1059.005",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/execution_powershell_susp_args_via_winscript.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-powershell-susp-args-via-winscript.md)
Command Execution via SolarWinds Process,"T1059, T1059.001, T1059.003, T1195, T1195.002",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/execution_apt_solarwinds_backdoor_child_cmd_powershell.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-apt-solarwinds-backdoor-child-cmd-powershell.md)
Command Line Obfuscation via Whitespace Padding,"T1027, T1059, T1059.001, T1140",ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/defense_evasion_whitespace_padding_command_line.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/defense-evasion-whitespace-padding-command-line.md)
Command Shell Activity Started via RunDLL32,"T1059, T1059.001, T1059.003, T1218, T1218.011, T1552",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/execution_command_shell_via_rundll32.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-command-shell-via-rundll32.md)
Conhost Spawned By Suspicious Parent Process,"T1036, T1055, T1059",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/execution_via_hidden_shell_conhost.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-via-hidden-shell-conhost.md)
Container Management Utility Execution Detected via Defend for Containers,T1609,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cloud_defend/execution_container_management_binary_launched_inside_a_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-container-management-binary-launched-inside-a-container.md)
Container Management Utility Run Inside A Container,T1609,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/execution_container_management_binary_launched_inside_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-container-management-binary-launched-inside-container.md)
Creation of Hidden Login Item via Apple Script,"T1059, T1059.002, T1547, T1647",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/persistence_creation_hidden_login_item_osascript.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-creation-hidden-login-item-osascript.md)
Creation of SettingContent-ms Files,"T1204, T1204.002, T1566, T1566.001",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/execution_settingcontent_ms_file_creation.toml),
Cron Job Created or Modified,"T1053, T1053.003",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/persistence_cron_job_creation.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-cron-job-creation.md)
Cupsd or Foomatic-rip Shell Execution,T1203,EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/execution_cupsd_foomatic_rip_shell_execution.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-cupsd-foomatic-rip-shell-execution.md)
Curl or Wget Egress Network Connection via LoLBin,"T1059, T1059.004, T1218",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/defense_evasion_curl_or_wget_executed_via_lolbin.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/defense-evasion-curl-or-wget-executed-via-lolbin.md)
Delayed Execution via Ping,"T1059, T1059.001, T1059.005, T1216, T1218, T1218.003, T1218.004, T1218.005, T1218.009, T1218.010, T1218.011, T1220, T1497, T1497.003",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/execution_delayed_via_ping_lolbas_unsigned.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-delayed-via-ping-lolbas-unsigned.md)
Deprecated - EggShell Backdoor Execution,"T1059, T1059.006",Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/execution_pentest_eggshell_remote_admin_tool.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-pentest-eggshell-remote-admin-tool.md)
Deprecated - Microsoft Exchange Transport Agent Install Script,"T1059, T1059.001, T1505, T1505.002",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/persistence_transport_agent_exchange.toml),
Deprecated - Potential PowerShell Obfuscated Script,"T1027, T1059, T1059.001, T1140",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/defense_evasion_posh_obfuscation.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/defense-evasion-posh-obfuscation.md)
Deprecated - PowerShell Script with Discovery Capabilities,"T1007, T1012, T1049, T1057, T1059, T1059.001, T1082, T1083, T1087, T1087.001, T1087.002, T1135, T1201, T1482, T1518, T1518.001, T1615",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_posh_generic.toml),
