Name,Technique,Rule Type,Severity,Source,Guide
Accepted Default Telnet Port Connection,"T1021, T1190",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/network/command_and_control_accepted_default_telnet_port_connection.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/command-and-control-accepted-default-telnet-port-connection.md)
Anomalous React Server Components Flight Data Patterns,"T1059, T1059.007, T1190",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/initial_access_anomalous_rsc_flight_data_patterns.toml),
AWS Access Token Used from Multiple Addresses,"T1078, T1078.004",ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/initial_access_iam_session_token_used_from_multiple_addresses.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/initial-access-iam-session-token-used-from-multiple-addresses.md)
AWS CLI with Kali Linux Fingerprint Identified,"T1078, T1078.004",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/initial_access_kali_user_agent_detected_with_aws_cli.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/initial-access-kali-user-agent-detected-with-aws-cli.md)
AWS Management Console Root Login,"T1078, T1078.004",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/initial_access_console_login_root.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/initial-access-console-login-root.md)
AWS Sign-In Console Login with Federated User,"T1078, T1078.004",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/initial_access_signin_console_login_federated_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/initial-access-signin-console-login-federated-user.md)
AWS Sign-In Root Password Recovery Requested,T1078,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/initial_access_password_recovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/initial-access-password-recovery.md)
AWS Sign-In Token Created,"T1078, T1078.004",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/initial_access_aws_signin_token_created.toml),
Azure Storage Account Keys Accessed by Privileged User,"T1078, T1078.004, T1555, T1555.006",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/credential_access_azure_storage_account_keys_accessed.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/credential-access-azure-storage-account-keys-accessed.md)
Command Execution via SolarWinds Process,"T1059, T1059.001, T1059.003, T1195, T1195.002",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/execution_apt_solarwinds_backdoor_child_cmd_powershell.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-apt-solarwinds-backdoor-child-cmd-powershell.md)
Creation of SettingContent-ms Files,"T1204, T1204.002, T1566, T1566.001",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/execution_settingcontent_ms_file_creation.toml),
CyberArk Privileged Access Security Error,T1078,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cyberarkpas/privilege_escalation_cyberarkpas_error_audit_event_promotion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-cyberarkpas-error-audit-event-promotion.md)
CyberArk Privileged Access Security Recommended Monitor,T1078,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cyberarkpas/privilege_escalation_cyberarkpas_recommended_events_to_monitor_promotion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/privilege-escalation-cyberarkpas-recommended-events-to-monitor-promotion.md)
Deprecated - M365 Security Compliance Email Reported by User as Malware or Phish,"T1566, T1566.001, T1566.002",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/o365/initial_access_security_compliance_user_reported_phish_malware.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/initial-access-security-compliance-user-reported-phish-malware.md)
Downloaded Shortcut Files,"T1204, T1204.002, T1566, T1566.001, T1566.002",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/execution_downloaded_shortcut_files.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/execution-downloaded-shortcut-files.md)
