Name,Technique,Rule Type,Severity,Source
Accepted Default Telnet Port Connection,"T1021, T1190",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/network/command_and_control_accepted_default_telnet_port_connection.toml)
Apple Script Execution followed by Network Connection,"T1059, T1059.002, T1105",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/execution_scripting_osascript_exec_followed_by_netcon.toml)
Attempt to Establish VScode Remote Tunnel,T1219,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/command_and_control_tunnel_vscode.toml)
AWS CLI Command with Custom Endpoint URL,T1102,New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/command_and_control_aws_cli_endpoint_url_used.toml)
Bitsadmin Activity,"T1105, T1197",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/command_and_control_bitsadmin_activity.toml)
Cobalt Strike Command and Control Beacon,"T1071, T1568, T1568.002",Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/network/command_and_control_cobalt_strike_beacon.toml)
Connection to Common Large Language Model Endpoints,T1102,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/command_and_control_common_llm_endpoint.toml)
Connection to Commonly Abused Free SSL Certificate Providers,T1573,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/command_and_control_encrypted_channel_freesslcert.toml)
Connection to Commonly Abused Web Services,"T1090, T1090.002, T1102, T1567, T1567.001, T1567.002, T1568, T1568.002",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/command_and_control_common_webservices.toml)
Curl Execution via Shell Profile,"T1105, T1546, T1546.004",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/persistence_curl_execution_via_shell_profile.toml)
