Name,Technique,Rule Type,Severity,Source
Access Control List Modification via setfacl,"T1222, T1222.002",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/defense_evasion_acl_modification_via_setfacl.toml)
Adding Hidden File Attribute via Attrib,"T1222, T1222.001, T1564, T1564.001",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/defense_evasion_adding_the_hidden_file_attribute_with_via_attribexe.toml)
Agent Spoofing - Multiple Hosts Using Same Agent,T1036,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/defense_evasion_agent_spoofing_multiple_hosts.toml)
Alternate Data Stream Creation/Execution at Volume Root Directory,"T1564, T1564.004",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/defense_evasion_root_dir_ads_creation.toml)
Application Removed from Blocklist in Google Workspace,"T1562, T1562.001",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/google_workspace/defense_evasion_application_removed_from_blocklist_in_google_workspace.toml)
APT Package Manager Configuration File Creation,"T1543, T1546, T1546.016, T1574",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/persistence_apt_package_manager_file_creation.toml)
Archive File with Unusual Extension,"T1036, T1036.008",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/defense_evasion_collection_masquerading_unusual_archive_file_extension.toml)
Attempt to Clear Kernel Ring Buffer,"T1070, T1070.002, T1562, T1562.001",EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/defense_evasion_clear_kernel_ring_buffer.toml)
Attempt to Clear Logs via Journalctl,"T1070, T1070.002, T1562, T1562.001",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/defense_evasion_journalctl_clear_logs.toml)
Attempt to Deactivate an Okta Network Zone,"T1562, T1562.007",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/okta/defense_evasion_attempt_to_deactivate_okta_network_zone.toml)
